PTS,FG%,3P%,FT%,REB,AST,TOV,STL,BLK
119,33.3,29.9,91.3,37,10,8,8,3
119,45.0,39.5,40.0,30,7,14,7,3
116,68.4,0.0,61.5,143,8,19,8,23
112,45.8,30.0,75.0,63,48,27,11,5
112,50.6,36.4,75.7,64,5,13,5,12
111,44.1,36.5,75.0,71,25,6,13,1
111,41.2,37.2,73.3,72,13,11,9,4
111,36.6,30.9,76.2,50,19,13,10,5
110,58.3,0.0,60.0,53,18,17,0,8
107,46.2,43.9,85.7,17,10,10,6,0
106,47.3,37.0,27.3,63,11,16,12,4
106,47.9,51.4,68.0,55,8,6,4,6
105,47.7,28.6,65.2,87,8,7,2,4
104,50.0,0.0,72.7,85,20,9,15,7
104,48.9,12.5,100,44,50,16,9,0
102,40.9,26.4,70.6,47,15,9,8,4
99,50.0,39.0,88.2,42,18,12,4,2
99,48.8,19.0,63.0,72,14,10,13,6
97,41.7,40.0,37.5,26,49,20,10,5
97,36.4,31.3,76.9,63,29,13,11,6
95,54.5,33.3,90.0,41,13,5,8,7
92,39.2,34.3,85.7,25,7,12,11,3
92,42.5,27.8,70.4,36,50,28,21,6
91,33.7,34.0,76.9,44,19,8,19,5
90,35.4,24.6,66.7,28,12,11,8,6
89,35.9,20.8,55.6,59,17,12,10,2
89,69.8,0.0,83.3,49,8,13,6,16
88,49.3,26.1,60.9,30,7,15,7,2
88,35.7,30.8,100,49,20,4,8,1
87,48.1,31.3,42.9,71,35,11,9,7
87,36.7,36.5,90.9,31,14,6,7,3
86,47.9,25.0,66.7,77,11,17,10,8
85,34.9,33.3,100,32,25,11,13,3
84,47.9,12.5,59.1,72,19,16,12,5
83,51.6,33.3,82.4,35,10,9,3,5
81,36.8,26.9,50.0,29,15,10,9,2
80,47.8,33.3,83.3,102,4,12,3,10
79,66.0,0.0,52.9,50,5,8,4,10
78,38.6,37.5,78.9,71,57,16,17,5
78,39.0,21.7,66.7,51,11,11,11,10
78,41.1,26.7,71.4,45,15,7,6,1
77,32.9,23.3,77.8,42,10,13,8,1
77,33.8,29.4,89.5,43,19,18,5,5
77,41.9,30.0,68.4,41,14,12,3,3
77,45.7,36.4,100,28,14,12,3,1
